ma_bds,address,total_price,price_per_m2,loại hình,chiều ngang,chiều dài,hướng cửa chính,số phòng ngủ,số phòng tắm,số tầng,diện tích đất công nhận,diện tích sử dụng,đường trước nhà,property_type,area_calculated,latitude,longitude,center_distance_km,địa chỉ chi tiết,diện tích tim tường,nội thất,tên dự án / tòa nhà,tình trạng sử dụng
ACDWGY,"Thửa 125 - tờ 19 Nguyễn Thị Dưỡng, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1500000.0,7.77,Đất,9.95m,19.54m,Tây Nam,,,,,,,land,193050.19305019305,10.995183280307723,106.51427908585192,31.235464457860584,,,,,
UY5BDS,"Thửa 46 - tờ 10 Tỉnh lộ 15, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",3300000.0,16.03,Đất,4.79m,47.62m,Tây Nam,,,,,,,land,205864.00499064254,11.014908369621851,106.4957804039224,34.20736400918653,,,,,
6S3518,"Thửa 821 - tờ 37 Lê Thị Đảo, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1550000.0,13.25,Đất,5m,23.47m,Đông Nam,,,,,,,land,116981.1320754717,10.999313462213989,106.50375418571448,32.33317862498612,,,,,
SD7H85,"Thửa 838 - tờ 8 Tỉnh Lộ 15, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2300000.0,14.16,Đất,5m,32.53m,Tây Nam,,,,,,,land,162429.37853107345,11.016074734575922,106.50441416533829,33.70184025011042,,,,,
5HAKK7,"Thửa 634 - tờ 24 Nguyễn Thị Dưỡng, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1800000.0,24.89,Đất,4m,18.31m,Tây Bắc,,,,,,,land,72318.20008035355,11.008779122578575,106.49828745105319,33.51480481674615,,,,,
ACDC0Y,"Thửa 634 - tờ 15 Tỉnh Lộ 15, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",2600000.0,16.61,Đất,5m,31.09m,Tây Bắc,,,,,,,land,156532.20951234197,10.99494693878623,106.49462603119753,32.646965845299405,,,,,
PTPJ3G,"Thửa 49 - tờ 13 Nguyễn Kim Cương, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1600000.0,14.63,Đất,5m,22.34m,Đông Bắc,,,,,,,land,109364.31989063567,10.997510816605025,106.5151687684078,31.36982670584669,,,,,
3532JQ,"240/23/20 ( Thửa 1113 - tờ 54 ) Hiệp Thành 13, P.Tân Thới Hiệp, Q.12, TP.HCM",3900000.0,59.09,Đất,4m,16.79m,Nam,,,,,,,land,66001.01540023692,10.777125680274509,106.71593299277289,1.87212513432781,,,,,
Q7QK9U,"Thửa 853 - tờ 10 đường số 397, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2150000.0,22.34,Đất,5m,19.3m,Đông Nam,,,,,,,land,96239.92837958818,11.011118381427675,106.50712519767475,33.08986283337673,,,,,
9Z9MEP,"Thửa 1189 - tờ 59 Đông Thạnh 4, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",3600000.0,34.38,Đất,5m,21.32m,Đông Bắc,,,,,,,land,104712.04188481675,10.87023608708034,106.59141255240824,15.446225544464165,,,,,
