address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km
"Đường 40, KDC Vạn Phúc, P.Hiệp Bình Phước, TP.Thủ Đức, TP.HCM",65000000.0,241.99,268606.14074961777,10.862582828843234,106.75832163703659,11.221426758441032
"Thửa 621- tờ 50 Đường Võ Thị Thừa, P.An Phú Đông, Q.12, TP.HCM",5330000.0,48.89,109020.24953978318,10.769613772186764,106.70799753865988,1.4926947287330286
"Thửa 535 - tờ số 6 tỉnh lộ 15, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",28000000.0,7.13,3927068.723702665,11.008394481933138,106.51641282134501,32.21861932585895
"Thửa Số: 6, Tờ số: 90 Nguyễn Sỹ Sách, P.15, Q.Tân Bình, TP.HCM",12500000.0,130.0,96153.84615384616,10.805416083957368,106.65312709668162,5.765163697749872
"109/1162/11 Hẻm 1264/78 Đường Lê Đức Thọ, P.13, Q.Gò Vấp, TP.HCM",7500000.0,78.78,95201.8278750952,10.831549962854952,106.66363813672659,6.911163335979951
"Thửa 492 - tờ 95 Đường Nguyễn Văn Bá, P.Trường Thọ, TP.Thủ Đức, TP.HCM",14450000.0,120.41,120006.64396644797,10.85420376885547,106.75364098001735,10.169951304505155
"Thửa 553 - Tờ 41 Cầu Đình, Long Phước, Q.9, TP.HCM",3400000.0,35.82,94919.03964265774,10.76750159901893,106.6691878537925,3.535150857680044
"C5-12-69 khu 50ha, Cát Lái, Q.2, TP.HCM",8000000.0,73.12,109409.19037199124,10.805950649522783,106.74022140757869,5.354640265834227
"Thửa 652 - tờ 19 đường 218, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2650000.0,27.8,95323.74100719424,11.007911922915115,106.50761183186786,32.78243940659646
"Thửa 664 - tờ 158 đường số 15, P.Linh Xuân, TP.Thủ Đức, TP.HCM",3650000.0,60.43,60400.46334602019,10.839096439696567,106.76097429274878,9.430412699018854
"178/200 Bưng Ông Thoàn, TP.Thủ Đức, TP.HCM",5800000.0,67.75,85608.85608856089,10.84781110532841,106.73881602215023,8.692014888615013
